collateral_auction_type,collateral_name,collateral_specification,collateral_info,collateral_market_price,invoice_auction_price,invoice_ttd,invoice_num,mrent_price,cc_bill,food_cost,trans_cost,employee_installment_loan,monthly_income,Bonus_income,salary_reduction,add_income,dependents_1,dependents_2,dependents_3,dependents_4,dependents_5,coworker_report,fraud
Properti,Tanah,4549 m2 pedesaan Depok Barat,,19686448007.0,17905186321.03138,True,1604.0,523976,8632070,761939,637374,0,26396643,0,1633830.0881903153,12320406,0,936024,2624171,2837276,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,1471 m2 pinggiran kota Surabaya Timur,,16247636300.0,17218106198.686214,True,7637.0,1371631,2507851,921871,634428,0,12956445,0,772506.3860512136,0,0,4404320,0,0,1984725,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Vivo X80,Baru,13809966.392243987,37694356.2107738,True,7994.0,1957781,0,761270,1350619,3120690,16635070,3002491,866648.1465196821,7942381,0,0,0,2554390,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Honda Supra X 125,Baru,8142244.215046518,5912982.987236746,True,8767.0,1777358,0,1278056,738086,9862990,5403836,0,504636.1742677696,0,2194895,4658912,0,345797,0,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Baru,28185838.35176467,56484815.498722136,True,7532.0,1697923,0,1162868,472445,2686103,17627603,0,1607063.618827356,0,0,3740220,2847857,0,0,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Realme GT 2 Pro,Bekas,8517469.999982506,24251709.47135747,True,8033.0,303073,0,1120205,826160,0,7585518,0,613276.4356399103,2340825,1720698,0,0,0,0,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Bekas,24995128.253875256,67982674.91245855,True,9278.0,783873,7341377,1078045,689153,4768032,20464800,3598483,1677282.7733111735,13729992,0,675708,2019014,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 100 gram,,24995128.253875256,19405304.99723295,True,9431.0,391692,5231679,754163,628850,6024653,10350137,3487418,946475.8686015692,0,0,0,1878033,4490048,0,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,OPPO Find X5 Pro,Bekas,12270378.289100504,20658049.680431508,True,4173.0,1729547,0,1479578,1059876,7141116,17900478,1232760,1010798.0164707699,8214749,2833670,0,4997385,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,OPPO Find X5 Pro,Baru,19401466.631907586,14493648.353442684,True,5760.0,464749,8955132,1047818,674032,2917358,32608740,4022652,1958042.6218477485,4413923,590213,0,2614568,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Suzuki GSX-R 150,Bekas,27234670.035451047,56762428.88877866,True,4392.0,1205228,4549603,1482809,1106598,0,25246585,0,2395666.745815684,5041965,0,3724610,593751,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Realme GT 2 Pro,Baru,10055514.910020728,14504421.55680941,True,5734.0,1684480,963960,1314956,550124,8525241,11789402,0,808667.5514542885,10469427,0,0,0,941291,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Baru,26402269.02539342,16572473.560893115,True,7656.0,1549415,0,757497,753261,8224324,23465341,1915387,2342831.815131935,0,4349669,0,3099261,3870273,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Suzuki GSX-R 150,Bekas,25319403.41339608,40750394.59803467,True,7251.0,502346,7847130,1330606,1418854,4872228,30390261,1170495,2615381.956189342,0,2142017,0,0,0,375117,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Vivo X80,Baru,11651030.784324776,22868991.852581274,True,6731.0,1725527,2885518,952791,606802,2888463,18228326,1821362,1572220.2353018555,0,0,0,0,0,3632368,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 1 gram,,11651030.784324776,23829234.935932748,False,7817.0,1900373,0,893805,633290,4919302,15199561,1243319,1094880.199615436,0,0,4329778,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 84 m2 Makassar,Bekas,1717522808.0,3550425980.344346,True,2303.0,973715,7012921,962946,1226338,0,10326971,0,616922.847804941,13983590,858843,2775840,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3318 m2 perkotaan Palembang,,28928639964.0,74950535583.30281,True,7634.0,719812,0,1482246,1454367,0,31520265,0,2340498.9973106226,1335412,1346115,3440001,3238990,0,403599,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,5011229.30516468,11627429.262091562,True,8141.0,512010,0,796053,819734,4061825,7378128,2373326,595323.0519135508,0,2700800,0,3303707,0,3728975,1,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Kendaraan,motor gede,Yamaha Vixion,Baru,29121070.91239101,80278612.03063932,True,2009.0,1948191,0,1103834,765400,0,21189767,2909065,2086821.81011848,0,0,1409988,0,3693829,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung liontin mutiara dengan desain jalinan,,6006453.809125771,16684826.478514355,True,5892.0,1155423,0,1379070,698540,8734410,8064679,4220050,597962.162778554,0,2076470,1016661,2330481,4003586,2554779,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Apartemen 276 m2 Makassar,Baru,1981337890.0,1787312781.1580763,True,3973.0,1204772,0,1432545,1345294,0,32435939,4885859,2277789.764677868,13390070,0,4198683,4386320,2539068,1615586,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang perak sterling dengan liontin mutiara dan berlian,,795752.175950534,1141686.354692799,True,1991.0,210238,2654141,1009118,800871,7199380,18916222,0,1430420.0523570753,0,0,3467744,0,4305789,3189669,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Baru,28255645.237471722,37875641.609896265,True,2931.0,477144,0,757841,474311,4636300,11961467,0,680005.5049602635,10659717,1442477,2369528,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,1910 m2 pedesaan Tangerang Selatan,,11113390390.0,7696474953.809504,True,,1284389,0,1298162,540725,0,29062670,4698779,1553800.4594247078,6270172,4582867,0,950395,0,2255322,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Baru,28699433.846837915,21641778.908021268,True,7479.0,904736,0,947114,562105,0,8856474,0,585223.9568435241,8527228,0,0,360415,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,MSI Modern 15,Baru,13176597.121543324,11972806.079905117,True,,1105734,8174440,1125174,1395474,7627488,20398516,3798627,1811389.3065120603,0,4049811,0,0,0,1895530,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor sport,Kawasaki Ninja 250,Baru,49052041.39446104,100116797.25559711,True,2914.0,939043,1948333,873816,1465345,2390992,7287266,0,622835.4884776211,16462973,0,1102372,4962500,2814118,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3875 m2 pinggiran kota Surabaya Utara,,34110365625.0,92754216557.66182,True,2388.0,1005760,0,1116423,1072304,0,11615721,0,832163.3486336723,3326865,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Yamaha R15,Bekas,28408000.11006227,37191452.757812515,True,,971051,8728773,826163,1337428,0,12873575,3117315,674939.2984251289,1297415,1828330,0,0,0,1642182,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor trail,Yamaha WR 155 R,Bekas,34920165.732348174,40824512.03239348,True,3636.0,1297382,0,1033228,1112554,3802620,32739086,0,2786903.915089989,14227846,0,711688,0,3214516,2688220,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 126 m2 Surabaya Selatan,Bekas,1970952210.0,2273176297.560624,True,4263.0,1582055,0,842150,1049942,9643621,6238910,1040627,388450.1967676813,0,0,0,0,0,566363,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,5920304.178659692,17149912.018160105,True,6356.0,1623427,0,1064085,498317,4038376,12869033,1606195,891624.7301263745,6021330,3160548,4434281,4806434,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,4936 m2 pedesaan Tangerang Selatan,,25181201440.0,28888946461.292007,True,4866.0,859173,0,1224179,380759,0,31370062,2975605,1761559.3783982457,0,0,3059803,2197486,2687637,4424336,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 142 m2 Makassar,Baru,1003408440.0,1912616619.0959356,True,4063.0,1973042,0,1180928,1460258,0,21382777,0,1364065.5415593863,0,1644936,4599998,1276858,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Bekas,22839654.47437136,21998670.62358797,False,2062.0,1664009,0,835188,1258214,8861722,14490502,2358672,1368265.7741391985,0,2241385,1952364,831538,0,1974744,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor sport,Kawasaki Ninja 250,Baru,49631315.759848624,44997551.52380249,False,6449.0,935879,0,1363949,1074221,0,24454116,3760745,1980189.2951934326,17609838,3278114,0,1412006,2874452,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Lenovo ThinkPad X1 Carbon Gen 10,Baru,23721004.535103515,50170961.19012574,True,,1191523,0,1256464,651340,2389544,16656950,0,1537455.785146508,3397170,3280427,0,0,534204,4588567,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,1792 m2 perkotaan Palembang,,15310994944.0,30643239260.968445,True,5114.0,221019,2949508,1383365,1060141,0,24977875,1131145,1704997.9824048001,0,0,3945112,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 81 m2 Medan Barat,Baru,1006150357.0,788826041.9459988,True,2193.0,1661463,0,1226260,576810,0,14336083,0,1393763.0033321516,12949164,1251160,2890477,2535944,0,2894007,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang emas kuning 22K with liontin berbentuk hati dan berlian,,14337848.949945383,24836976.136797577,True,6247.0,1425461,2805955,1378910,1269444,8951433,27012927,0,2259007.0713436683,0,0,0,0,3057271,857708,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 1 gram,,14337848.949945383,15400564.9281534,True,3733.0,554254,0,1285161,1178478,7332012,8350188,4059391,532729.5574122058,581805,4440110,0,2034214,3915960,2871763,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Apartemen 194 m2 Surabaya Timur,Bekas,1643121904.0,2331148405.294598,False,9400.0,1713076,0,1238898,729331,0,15068594,4395617,865869.4503868379,19196901,4364799,0,0,4140779,1349428,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Asus ZenBook 14X OLED,Baru,19878712.728365876,27156215.61102417,True,1933.0,1712314,4140791,868444,420127,6292990,26446273,3705825,2292260.3536664057,3779650,1978216,0,1563169,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 118 m2 Bandung,Baru,884769716.0,781844414.144758,True,2687.0,294907,0,1374170,1221705,0,16123805,1382128,1423156.477035222,13490727,329303,273497,0,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 169 m2 Depok,Bekas,1126354217.0,859838331.0672982,True,7451.0,536406,0,1169574,896290,0,29086626,1467985,1480698.7522057218,0,0,0,4792178,4323906,4340252,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,"Cincin solitaire emas putih 18 karat dengan berlian 0,3 karat",,8784899.256355505,12768900.067490358,True,3338.0,728604,0,1341691,409409,0,23794119,4559931,1687486.3547395212,5754470,4147703,1017518,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin perak sterling dengan batu permata biru,,849126.9768937557,1685015.8016503488,False,2311.0,1955621,0,1388075,1087452,0,20232004,2325477,1410746.5385663284,12365242,4463373,2334841,598899,3550980,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,"Kalung liontin berlian 0,5 karat dengan emas kuning 22 karat",,10772028.107246254,22341933.21202653,True,5611.0,1394312,1260047,961585,388406,0,12707073,0,1036423.3613225926,0,961779,3692672,262107,4921457,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Rumah 295 m2 Yogyakarta,Baru,482878973.0,936794271.526247,True,7082.0,1934878,0,817890,1384334,5422659,26423095,0,1466654.57541526,16555891,0,535331,0,3737236,2966386,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Audi A4,Baru,1270027690.8935914,1227020979.102863,True,2841.0,380116,0,1304265,1080706,9319917,31867693,0,2237607.382956417,0,0,0,0,4088239,431568,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 202 m2 Tangerang Selatan,Bekas,930382618.0,1780022128.3707945,True,5026.0,1940160,5907248,1464400,1419971,6903045,17389796,0,1016330.8239141072,19693944,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Baru,21035146.36494282,45184978.810059085,True,,750952,5769154,1151847,372221,2820483,33454914,0,3332478.6923083053,0,0,1167356,588870,1591444,3886630,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Honda Supra X 125,Baru,6801859.734139722,12381220.208165733,True,6424.0,1817328,2379453,753201,572903,5348838,11382695,4983235,762558.6347359943,10183905,0,0,858905,3586656,0,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Apartemen 257 m2 Depok Timur,Bekas,873715261.0,1214004622.7163205,True,5337.0,747808,5852977,1432902,1355192,2548358,28463175,0,1538474.607768059,0,987399,0,4175229,0,3243150,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,"Anting-anting berlian 0,5 karat with emas kuning 22K",,10331638.096394705,8372875.104706142,True,9403.0,923030,4709049,875794,1176887,2486391,20868670,0,1405264.010415449,10637997,0,4538777,0,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Bekas,10127730.968627509,13437177.350828547,False,4554.0,257629,0,833341,1242635,0,29303772,3232530,1972228.854255949,0,2361604,2721851,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 214 m2 Surabaya Barat,Baru,897277548.0,605707139.894771,False,4257.0,1221108,0,1490073,1368675,3570632,20620581,3383797,1738080.4071795917,0,0,4116055,0,40342,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,MSI Modern 15,Bekas,8115575.58355955,13201644.763320602,True,,1343507,4524337,1230071,624532,0,21042273,0,1892392.1426177833,0,0,0,2326271,2930302,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung mutiara multi dengan emas putih 18 karat,,12910455.247716293,18566833.16956806,True,8475.0,1096410,9029284,1499261,698114,6499565,5430703,2251293,376694.2289854203,5254169,1491876,4940146,3509056,0,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,Acer Swift 5,Baru,13510248.007677373,11310484.126804221,True,1357.0,1744260,0,1353705,357869,2325671,27917169,0,2610040.875630387,0,648332,3258886,4242748,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,1011 m2 pedesaan Tangerang Selatan,,5154482400.0,7927953723.858806,True,2920.0,1267801,0,1355816,1389008,5430973,32052461,0,1990243.812587043,17166994,4237247,0,0,417536,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Toyota Avanza,Bekas,224363262.25739557,494443825.3249018,True,8285.0,1831465,0,1299066,657907,3322944,9582243,1034682,664570.8402252971,6229622,0,0,0,0,3701572,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Lenovo ThinkPad X1 Carbon Gen 10,Bekas,20309344.272360403,34532275.81872577,True,,1901274,686707,1099635,992831,7304518,31790758,4476258,2626531.433233771,0,0,1762399,3151273,0,2611289,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Yamaha Vixion,Baru,28788741.749166764,47261003.43426546,True,4079.0,1705179,0,829894,417172,0,14059079,4893166,1142460.823085548,0,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung liontin berlian dengan setting halo,,19197055.40465408,19090350.720987476,True,1043.0,532286,9733899,1015507,921030,8907500,6779052,3189098,464091.8359385118,19561030,3198442,0,1705,104721,3048274,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Mercedes-Benz C-Class,Bekas,1387585564.403648,970541622.7470442,True,9431.0,1280035,2016457,910715,998056,9954183,18973707,0,1768562.9277344313,694193,1013611,0,4839698,1823907,4686787,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor sport,Honda CBR 150R,Baru,39196020.32319959,94160739.39864165,True,3035.0,640838,8062720,1417314,659348,3556202,7714072,0,733072.6789550052,9965242,0,2367245,0,3570444,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,MacBook Air M2,Baru,22416599.69673381,22415520.607159965,True,4803.0,838272,0,1272574,1185182,0,34981237,0,2486736.5691245142,17001853,1224156,3591942,0,0,2839579,5,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,MacBook Air M2,Baru,24258419.83152456,59912651.68983383,True,8778.0,623552,0,1149410,1082741,0,19891953,0,1752012.3454633877,0,0,2627590,373998,4496105,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 133 m2 Medan Barat,Baru,701661873.0,469416093.2830483,True,2784.0,1587766,0,990727,1456452,0,33147480,0,2518421.53959368,0,0,0,0,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 25 gram,,701661873.0,2078143667.0993164,True,7166.0,1007408,0,1004010,1011771,8333126,17440747,2705105,875567.4312392077,0,0,4147802,4670510,1542673,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,Lenovo ThinkPad X1 Carbon Gen 10,Bekas,21523268.442968577,61005883.02341368,True,9045.0,1996715,0,1260212,971026,0,14426206,3114637,912931.0804277972,0,4544305,4564019,0,1542142,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2213 m2 perkotaan Yogyakarta,,13302882972.0,32464062920.68461,False,2764.0,1968801,9259421,1497022,1109198,9503393,22506065,0,1704473.8863649345,0,0,0,559794,3260164,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor bebek,Yamaha Jupiter MX,Baru,22874707.794613816,24276495.479146108,False,8163.0,1999563,0,895234,969949,0,12856732,0,985693.4994791069,0,1806378,0,0,0,0,4,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,OPPO Find X5 Pro,Bekas,14199240.238297261,9396718.151427902,True,4118.0,204473,0,1047893,881628,6443500,10862892,4008867,963793.5602211476,3630190,0,2828667,0,0,1584967,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang emas kuning 22K with liontin berbentuk hati dan berlian,,10509595.358048154,19770547.546004377,True,3659.0,1968858,7618164,1259638,477573,0,31274915,1048454,2615842.699570818,9276054,2280177,3231,4604489,0,115581,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Honda Supra X 125,Baru,5251910.729879432,8674641.636015017,True,4877.0,489262,5577398,1148533,365374,5543172,22216698,4776758,1322907.8822394512,0,0,1659099,2571029,0,906424,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Baru,23195504.590827074,36195379.24148611,True,7299.0,221939,1191805,1201667,484202,0,6588193,2560930,332567.79894769524,0,1446040,3963394,0,556485,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang mutiara multi dengan desain chevron,,5942072.199157852,4239404.211871129,True,6496.0,1761873,1672346,1450596,661552,4708597,23911913,0,1873247.4785242297,0,4286413,0,0,4090584,4066428,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Honda Supra X 125,Bekas,9937595.251539003,8114711.119746041,True,6246.0,1758451,3714085,942431,1234366,6625716,31773003,0,3051008.1791238156,16994838,0,0,0,2261298,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Bekas,21791388.29450163,21135859.826098625,False,6728.0,998101,0,945996,1378630,4750944,8147412,1807222,587559.1417049376,0,1896131,4835258,3405073,0,4692173,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor trail,Suzuki DR-150S,Baru,35353808.46488088,80007383.99959618,True,5600.0,1054825,4627484,1338492,447127,0,19551988,1562445,1579195.805471096,18691315,0,1196318,1825019,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Yamaha R15,Baru,40119694.366418324,96511762.6159385,True,7662.0,1671968,0,1145096,971911,0,34796605,0,2977092.0373721574,0,0,647884,0,0,1371780,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,MacBook Air M2,Bekas,15393267.668244217,24085855.307199694,True,8253.0,768113,0,1410205,1271739,8183439,19209584,2081614,1510278.2902241484,9132586,0,3646210,2710190,2875277,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 199 m2 Surabaya Timur,Baru,927101370.0,864274804.6244557,True,,860957,0,1385108,1410738,0,29118682,0,1613662.4391491893,0,0,2093777,0,1871657,2765636,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor trail,Kawasaki KLX 150,Baru,37529350.606082395,89415140.7730177,True,,1691212,0,1469531,601707,9441030,34357689,1128364,2437760.879373309,5442164,0,3165240,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2276 m2 pedesaan Gresik,,12820405292.0,27011130859.568993,True,6625.0,1654693,0,1027142,572661,7241044,32411870,3359668,2823021.952087223,16626663,2308003,3819361,0,0,623794,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang mutiara multi dengan desain chevron,,7732410.093000941,13850480.586600265,True,7634.0,379517,0,1051362,672612,0,10331633,0,627860.5635697794,10012867,1366952,2362075,0,85643,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 5 gram,,7732410.093000941,5470275.006378785,True,2289.0,1099308,0,798332,1240150,7381886,21551816,0,1120631.7191545472,13475374,1301000,542417,0,0,3750848,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3341 m2 pinggiran kota Medan Utara,,29901475578.0,60228329751.00679,True,2156.0,613452,714379,1209141,972122,8181123,25754584,2756027,2317904.958728813,1993635,0,0,0,3940873,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor trail,Suzuki DR-150S,Baru,33155053.866372343,68660247.53426272,True,7943.0,1934806,5949602,846881,1313042,0,8275761,0,783071.0971010601,225017,3963233,4426795,0,152652,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Rumah 292 m2 Depok,Bekas,824961720.0,719375291.5950916,False,6160.0,1066500,0,1359617,1441965,0,19410564,0,1426050.0531045557,9637788,3610508,0,977952,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2230 m2 perkotaan DKI Jakarta,,55860911280.0,75920568071.47513,True,2587.0,984538,9162654,1287381,1098854,2421574,32351670,3257265,2737468.3709647614,1985560,0,2104365,66289,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 96 m2 Tangerang Selatan,Baru,748627995.0,1499158629.051984,True,5606.0,1778772,0,1091429,433967,0,32930022,0,3175212.832319117,0,0,0,0,0,812562,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Kawasaki Ninja 250,Baru,46638756.38479235,53241330.74705869,True,6869.0,509854,0,1002555,472291,7542064,27907205,0,2489365.8732057847,544056,2886789,0,0,0,890169,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang mutiara multi dengan desain chevron,,8203251.703721773,11487689.030001178,True,4536.0,201925,0,1211246,835441,0,29499276,3794802,2068778.6688702863,0,0,0,0,212331,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Suzuki Smash,Baru,19718844.396803144,56598791.45561699,True,5450.0,1560803,2198017,1083182,707555,8145722,25760547,0,2372579.0747938524,2710030,0,346881,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Bekas,14435900.503186235,13822075.024113763,True,1682.0,895381,6616437,808567,851671,0,24364339,0,1311995.7024222047,0,1490001,0,0,3860693,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Acer Swift 5,Baru,12701326.75749533,34201044.30996637,True,8130.0,272759,0,1384873,519660,9433834,22745217,0,1203755.5122605797,15620775,3940175,0,1848432,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,"Cincin solitaire emas putih 18 karat dengan berlian 0,3 karat",,9321427.757663164,11673860.492607843,True,5813.0,1533064,7233882,829882,858931,5820710,9523843,0,650983.0636322314,18167678,0,0,0,3930903,76104,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
